cohesion,separation,alignment_variance,clusters,isolated,connected
3.6241088015750137e-07,19979.370196405023,6899.32093176872,18,0,100
3.5897837581817854e-07,19968.173104821322,4777.240680060764,16,0,100
3.5620789274735735e-07,19971.018292381104,2271.457946350945,16,0,100
3.5575479618237416e-07,19909.00655596914,1061.014343972998,15,0,100
3.575923170514634e-07,19825.621783127328,721.7919554602945,15,0,100
3.605365663606525e-07,19772.99599170193,452.28388170018957,15,0,100
3.6487041334353044e-07,19673.536966908494,402.2844616791994,13,0,100
3.697168496829439e-07,19576.362491475866,392.1714966513979,13,0,100
3.748908930962088e-07,19495.14117395785,387.40339087345023,13,0,100
3.7989334515772156e-07,19411.947742316628,565.1958710063171,12,0,100
3.851070059187202e-07,19332.15662526663,478.63027463002885,12,0,100
3.9078403423896454e-07,19218.465656938784,403.0344541936529,12,0,100
3.9668015420519887e-07,19060.748977631414,523.2327443398262,11,0,100
4.0241669201438637e-07,18918.334462484734,390.1793090296735,10,0,100
4.082056821752238e-07,18776.70649701819,496.9496401730404,10,0,100
4.139569500065458e-07,18647.22277414006,609.992118496818,10,0,100
4.1915187187364106e-07,18519.519258949305,922.1869980615377,10,0,100
4.246578056508343e-07,18367.57323797841,798.6113759139274,9,0,100
4.300595523271355e-07,18236.53459388313,580.0482213236677,9,0,100
4.357099253096202e-07,18091.494968478943,478.0964003645663,7,0,100
4.4139482174437126e-07,17962.635205161645,622.797112579258,7,0,100
4.244989651961574e-07,18168.362211738888,688.7990142053299,8,0,100
4.2915861051453445e-07,17452.415533764473,754.2430895421439,7,0,100
4.3396717969017144e-07,17342.94152989034,580.8321934563699,7,0,100
4.3884057574596513e-07,17206.934342515928,607.2997838130884,6,0,100
4.4391023715646744e-07,17058.044477762374,492.38675991007045,6,0,100
4.200778135158827e-07,17404.823413845497,905.349853497087,6,0,100
3.758072343254014e-07,17488.118360818084,1141.610445138489,7,0,100
3.5896381359045353e-07,16355.259416816867,1032.1290983927286,6,0,100
2.43522526838532e-07,17161.002459946194,1209.6035624393369,8,0,100
2.3690520907869805e-07,15268.268242009826,1738.5694443374782,8,0,100
2.0285782278399699e-07,15671.179270917855,1948.173341252697,8,0,100
1.361672865711581e-07,16757.26316121591,1618.9609100918503,8,0,100
1.118122636741189e-07,16816.648650866064,1879.5439648626818,8,0,100
1.090943449399197e-07,12676.646060812696,1582.3389059255423,8,0,100
9.819796994047397e-08,12422.927407927813,1420.3576747643012,8,0,100
9.03240074099392e-08,13390.03773583516,1827.7531880885342,10,0,100
7.505032089160707e-08,14397.013185388265,1606.7164482491646,10,0,100
7.5259239460979e-08,8514.851363304515,1729.773019619166,9,0,100
6.937410509377174e-08,10667.267406201001,1654.8198973538208,8,0,100
6.031792706578767e-08,12005.297738184248,1750.6025536354327,8,0,100
5.860377387368317e-08,7574.665128115635,1832.7919887385171,9,0,100
5.384115302457597e-08,9935.729708258315,2016.625638618434,8,0,100
5.146885520388938e-08,8284.773664543844,1950.369547846716,9,0,100
4.9452988459673474e-08,8005.264069141861,1962.2467559109778,9,0,100
4.818226028235419e-08,7248.676308410945,2046.5108611879466,13,0,100
4.721867959061269e-08,6759.170001889852,2092.189740600176,13,0,100
4.605520367411869e-08,6932.826322223658,1787.0004561376477,13,0,100
4.54320736950538e-08,6697.6783293925355,1538.731493472827,12,0,100
4.5321700661187577e-08,5279.925022052776,1559.6979870524506,12,0,100
4.479695705909061e-08,6996.896024916012,1342.4978737580825,12,0,100
4.485010206705361e-08,5924.691694623363,1237.9656580255107,13,0,100
4.5201576498380694e-08,7254.142754034588,1653.422725674824,12,0,100
4.5497231484307364e-08,4912.721013901054,1650.3522641748698,12,0,100
4.611874954246719e-08,6467.444233894132,1338.9123117007773,13,0,100
4.8097588770611874e-08,7399.146375616098,1717.742334515695,14,0,100
4.890301261581705e-08,6533.470276096677,1512.2553626407414,16,0,100
5.0746417086566166e-08,7259.109752786378,1175.5428262700843,18,0,100
5.433599184493286e-08,7851.5539885984235,1398.4989419891679,18,0,100
5.555015956092199e-08,7447.910297603134,1526.9003717596509,18,0,100
5.819646320324224e-08,8192.411733245408,1537.368541789975,20,0,100
6.129325707738241e-08,8513.903664669479,1770.0166467333172,19,0,100
6.498732717634174e-08,9112.806968328363,1422.3258203935095,20,0,100
6.547818607976198e-08,9050.5875237708,1253.049788956434,19,0,100
6.889245567880235e-08,9672.512095566062,1146.3346549445068,19,0,100
7.48455255757621e-08,10341.966155392653,1217.253388178005,20,0,100
8.43330496838321e-08,11238.84035693074,1070.7292903411717,21,0,100
8.566479344112335e-08,11618.928633948835,1089.3242127123872,22,0,100
9.426813548038764e-08,12162.66542853713,1146.802980503588,25,0,100
1.2581494673369404e-07,13296.871034780044,1124.1897084658394,26,0,100
1.286845958024162e-07,14422.561735175217,1451.3172220774122,28,0,100
1.4528076962523197e-07,14871.453269284058,1250.210300054989,25,0,100
1.5681997952402599e-07,15828.253034594674,1466.85900380879,23,0,100
1.8565572647091087e-07,16216.652042231155,1353.792074843916,23,0,100
1.8603380391103347e-07,16992.524801920496,1069.111029053931,24,0,100
2.2697451324029397e-07,17021.98181997276,1043.9929329302506,25,0,100
2.3208721975157268e-07,17549.169580684418,974.1343758748875,26,0,100
2.435908703490936e-07,17794.91198890389,712.4577050362632,27,0,100
2.728155910154996e-07,17937.932323651483,518.002712694492,26,0,100
2.716219681921224e-07,18337.5298364749,397.19787578544646,26,0,100
2.70879164140755e-07,18290.262166028366,302.5300044656797,27,0,100
2.702141706223121e-07,18279.904025598888,288.09957597813354,27,0,100
2.7562845024432414e-07,18320.394391118185,229.05657910059327,27,0,100
2.7511322518944917e-07,18475.2142541676,208.33100016023292,28,0,100
2.8114377795772377e-07,18480.180863562502,110.52851255017798,28,0,100
2.816517392697483e-07,18605.7219923709,110.99966018491324,27,0,100
2.876774882195638e-07,18640.81992179768,119.3520559749714,27,0,100
2.9398477238084024e-07,18765.204348201267,124.57270785910163,25,0,100
2.9430579130293543e-07,18847.347953545,115.52621181778548,25,0,100
2.946931682823072e-07,18819.338947628887,114.64829581979208,25,0,100
2.951178889706565e-07,18773.907767320816,239.29818598400934,26,0,100
2.9537519312546397e-07,18838.86221514542,453.05037078770357,26,0,100
2.956473764539404e-07,18838.719142572038,245.85847653498604,26,0,100
2.9596945719976405e-07,18803.79175173603,232.91993963808548,26,0,100
